ques,bundle
6050,4408
7793,5650
4233,2988
8574,6215
10709,7944
11237,8329
9172,6807
609,378
8444,6105
10094,7348
3220,2302
10453,7695
1260,833
4226,2985
7858,5715
6065,4423
5424,3838
5209,3684
1193,779
2669,1906
11103,8221
585,371
10468,7710
6127,4483
5079,3574
8710,6345
4727,3388
10912,8101
11786,8628
1774,1175
9968,7249
1672,898
641,387
3980,2821
9990,7267
217,96
4322,2521
236,109
8725,6360
6261,4604
9901,7195
4416,3122
856,497
6305,4647
9510,7044
9983,7264
7063,5228
3343,2385
6194,4550
2486,1761
11255,8332
9061,6696
9916,7210
7579,5495
3570,2549
7510,5395
10316,7558
10954,8111
1711,1132
18,7
9804,7154
537,343
5521,3905
8286,6030
5540,3918
10722,7953
1704,1129
11,4
2958,2106
10652,7894
8200,5963
5602,3978
2768,1982
10863,8077
115,61
2787,1995
4084,2891
510,331
9178,6813
9431,6993
7086,5225
6601,4887
11489,8475
2353,1659
9190,6823
11695,8580
1363,920
8909,6544
5215,3690
5468,3870
11125,8235
4879,3475
10789,8020
5720,4091
11704,8585
9417,6987
11688,8577
6657,4940
5802,4160
7553,5455
1796,1189
1815,1202
5669,4045
11792,8634
663,401
4770,3424
7695,5575
11029,8123
11475,8469
10091,7345
7625,5516
1159,753
2635,1880
3122,2227
4037,2792
2638,1885
4441,3141
3938,2786
10257,7499
3349,2391
6200,4556
5919,4277
4355,3074
6411,4739
6323,4663
4635,3128
8420,6100
1006,632
8065,5872
6341,4680
10874,8077
1717,1138
9562,7058
2434,1718
6909,5137
8798,6433
6779,5027
387,250
9289,6899
4588,3137
5608,3984
9472,7020
5986,4344
6726,4908
7171,5258
8234,5987
2296,1609
10389,7631
9446,7004
9465,7017
10688,7927
7794,5651
9196,6829
3472,2474
11340,8378
11150,8254
5360,3774
10795,8026
9747,7117
10041,7298
9604,7068
7534,5468
10404,7646
3445,2462
3698,2642
5675,4051
603,376
4217,2978
3214,2300
1650,1097
2004,1329
1314,882
10825,8053
7384,5379
10097,7351
3144,2241
1773,1167
6702,4793
9580,7061
7751,5587
6500,4807
3501,2478
7861,5718
8642,6283
1450,891
4595,3274
7668,5552
8982,6617
3311,2354
9386,6966
10521,7763
3981,2822
8423,6101
3760,2594
3070,2184
3810,2711
6347,4686
857,498
898,536
6486,4801
10899,8096
2071,1396
2544,1808
3440,2360
7241,5313
393,256
2136,1461
9049,6684
6924,5148
9904,7198
11012,8158
11246,8325
9475,7021
4324,3053
9494,7034
10588,7830
5285,3734
2379,1633
3900,2762
5992,4350
9114,6749
3475,2475
5512,3898
4803,3438
5278,3731
2845,2042
4085,2892
2314,1625
5366,3780
5151,3626
11234,8328
10725,7956
9670,7088
606,377
9229,6857
1507,1007
4179,2941
1378,893
6059,4417
5605,3981
2771,1985
9181,6816
3169,2260
4953,3503
7028,5218
1503,1009
1269,842
5771,4135
3646,2599
8474,6136
11679,8570
1199,783
11197,8301
8464,6128
3813,2712
5723,4094
5322,3750
6136,4492
4420,3124
1072,678
10003,7274
1132,729
8112,5905
230,103
8719,6354
249,116
1150,746
11795,8637
10258,7500
2629,1878
3929,2779
9980,7263
3948,2792
7060,5227
3125,2230
2724,1886
9910,7204
4994,3517
3757,2672
997,625
6740,4993
1057,676
10594,7836
5291,3740
6203,4559
1079,694
4339,3064
1708,1131
8786,6421
2406,1698
6900,5130
448,302
1009,635
2232,1545
8283,6029
1891,1252
9556,7056
10325,7567
109,55
4290,3027
8851,6486
9549,7053
10731,7962
4881,3468
5106,3586
10661,7903
10680,7916
5611,3987
8563,6204
700,415
9187,6822
11138,8242
3463,2467
1379,932
1250,818
4892,3482
4642,3307
1082,682
10392,7634
4025,2850
11203,8307
4044,2863
8918,6553
5224,3699
5363,3777
10798,8029
5729,4100
5242,3716
5748,4113
7004,5200
7903,5757
9854,7177
255,122
8317,6040
4716,3377
4776,3428
4435,3135
8127,5916
3882,2693
9358,6946
3071,2185
2644,1889
5863,4221
