ques,skill
509,26
8057,61
9540,144
8084,164
4685,116
851,140
10548,119
2742,48
5701,174
2721,110
2795,59
11284,160
7330,82
7825,61
9442,144
7563,61
617,94
9417,87
4444,30
5337,55
11691,110
9509,26
9946,27
2623,110
1979,8
647,94
1519,23
7906,26
886,110
490,110
3833,34
7570,77
7248,26
228,110
3340,101
5594,61
4412,91
3354,157
654,110
7715,27
3504,101
9794,171
769,33
9035,119
7028,36
5663,174
6609,52
684,110
422,110
6850,114
5788,61
4406,30
1632,34
8382,89
6986,160
8803,119
3527,61
3265,61
3791,107
852,44
7810,48
4360,35
8460,130
9627,7
9728,59
1875,142
526,59
11508,136
1530,107
5211,26
2398,102
3557,61
3691,61
3295,61
5475,72
6991,103
3955,107
9684,110
1692,61
556,59
4656,154
9570,8
7580,94
5241,26
4387,114
6761,176
10149,65
4684,108
6979,69
4859,109
9600,8
2745,159
1724,107
7789,59
7453,110
5347,48
7224,58
4417,114
4551,114
9348,137
2173,118
8888,152
3804,72
1888,107
7557,59
7617,110
7369,8
687,87
2244,119
5618,110
860,15
11407,164
8503,95
4724,18
2520,175
8859,107
11039,118
2670,119
5648,110
6992,34
3125,110
6821,152
943,26
11201,72
11187,174
1019,21
8889,107
64,57
10807,118
1522,83
5302,8
2454,63
3574,94
3417,110
5304,54
3551,110
9602,164
9206,164
515,114
8655,61
10573,72
10311,72
2697,171
10971,118
11746,114
6980,158
9731,170
6394,34
3319,110
11073,21
561,58
9134,72
8738,72
2289,130
3423,59
9777,114
9534,164
10709,94
987,58
4858,101
9888,103
9626,103
3057,59
11799,74
3719,178
739,114
5408,137
1454,59
1514,110
1118,110
7169,164
8798,72
2898,187
9367,0
674,69
2365,101
1303,48
11000,27
9709,114
884,64
11604,141
1148,110
1585,111
539,2
838,69
10931,48
10595,99
576,69
4387,61
9739,114
7140,119
10514,110
7534,46
8635,27
8769,27
7363,164
9769,141
3693,30
4417,61
6409,21
523,34
9350,130
2189,9
4718,174
4866,72
1416,59
5328,103
4010,87
1929,55
7994,7
3840,26
2073,184
4634,72
8410,43
5597,119
8971,110
4481,180
5326,6
11552,61
1954,61
8401,115
3412,87
3620,36
8114,58
2665,72
2007,72
7530,7
9615,158
91,107
7336,141
4694,72
4372,21
8546,65
8942,65
381,61
2299,72
9243,178
9645,158
9719,107
779,107
8312,19
11612,61
10230,30
11746,61
8972,65
8576,65
283,61
6274,64
112,179
184,55
6934,110
8829,137
11776,61
3240,114
7125,55
11514,61
4411,110
9400,111
9779,107
9517,107
3404,114
4142,43
7784,34
4119,59
11595,26
3857,59
1667,114
2360,78
3300,141
9580,55
1555,58
460,57
7567,157
4209,110
9971,61
9998,164
2210,110
1150,130
8296,158
7974,107
1261,119
10958,98
4239,110
3917,59
10479,63
1539,63
4975,178
11558,93
1203,114
2240,110
8260,97
8029,164
5016,152
6620,30
11372,88
9658,72
6449,148
4308,65
5502,45
10359,119
8239,159
8649,30
5481,107
3565,142
5122,174
4761,168
